xc,yc,zc,ux,uy,uz,state,szz,sxy,sxz,syz
0.500612,0.498202,0.5,0.00313883,-0.00461132,3.65452e-06,4,-429646,490.084,8.64405,-3.56659
1.50181,0.498225,0.5,0.00904939,-0.00425839,-5.24029e-07,4,-431871,2168.02,-15.413,-9.20507
2.50292,0.498262,0.5,0.0139876,-0.00368345,-1.04504e-06,4,-439076,4330.57,-7.80491,-14.9409
3.50394,0.498296,0.5,0.0177014,-0.00310921,-7.26807e-07,4,-452511,5234.98,-6.84988,-8.82906
4.50488,0.498316,0.5,0.0203296,-0.00268411,-1.35943e-06,4,-466039,3010.76,-5.99559,-14.2448
5.50578,0.498325,0.5,0.0222083,-0.00239534,-1.20425e-06,4,-460738,1413.91,1.60246,-16.3976
6.50665,0.498342,0.5,0.0235907,-0.00216487,-5.76062e-07,4,-451071,1923.66,-1.73216,-3.3991
7.50747,0.498376,0.5,0.0245682,-0.0019658,-3.0016e-07,4,-444101,2106.78,43.6769,-0.825274
8.50819,0.498436,0.5,0.025186,-0.00179663,-1.0697e-07,4,-436929,1798.27,2.74994,-2.4122
9.50878,0.49852,0.5,0.0254886,-0.00164084,1.04362e-08,4,-427433,1950.96,0.910706,0.19669
10.5092,0.498621,0.5,0.0255011,-0.00148642,-2.13074e-09,4,-419815,2302.12,-3.3081,6.04101
11.5094,0.498726,0.5,0.0252454,-0.00133714,-5.4201e-08,4,-406045,2179.17,-7.84105,1.2448
12.5095,0.498824,0.5,0.024754,-0.00120139,-5.45616e-08,4,-391716,2249.16,-10.0608,-6.3535
13.5094,0.498905,0.5,0.0240551,-0.00108525,-2.68715e-08,4,-381403,2143.87,-4.16929,-11.6514
14.5092,0.498974,0.5,0.0231797,-0.000986236,-7.5887e-08,4,-370881,2148.72,6.8436,-8.07797
15.509,0.499039,0.5,0.0221683,-0.000898407,-1.89e-07,4,-354778,2261.74,0.334822,-0.130287
16.5086,0.499102,0.5,0.0210614,-0.000820067,-2.14329e-07,4,-335682,2332.85,4.62724,-1.02331
17.5082,0.499162,0.5,0.0198787,-0.000750414,-1.65191e-07,4,-318985,2420.61,0.00411841,0.0136088
18.5077,0.499219,0.5,0.0186247,-0.000688044,-1.18621e-07,4,-304534,2510.78,-0.51996,-0.159903
19.5072,0.499272,0.5,0.0173035,-0.000632587,-8.3482e-08,4,-292267,2591.55,-3.16069,-4.01352
20.5067,0.499319,0.5,0.0159179,-0.000582953,-8.16159e-08,4,-281693,2666.65,-7.06449,-2.7173
21.506,0.49936,0.5,0.0144646,-0.000536617,-2.25819e-08,4,-272484,2353.63,2.90639,0.94083
22.5054,0.499394,0.5,0.0129352,-0.000493225,8.99562e-08,4,-264428,1721.51,2.81216,1.33554
23.5047,0.499423,0.5,0.0113325,-0.000455357,1.68399e-07,4,-257048,1196.89,3.38816,0.469355
24.504,0.499445,0.5,0.00967111,-0.000424422,2.02654e-07,4,-250772,830.436,1.84172,0.694154
25.5033,0.499462,0.5,0.00796528,-0.000400414,1.55086e-07,4,-245754,576.145,1.66103,0.535062
26.5026,0.499475,0.5,0.00622669,-0.000382752,1.28984e-08,4,-242022,464.644,5.50963,0.0753957
27.5018,0.499484,0.5,0.00446421,-0.00037011,-1.58142e-07,4,-239319,359.293,4.29399,0.187013
28.5011,0.499489,0.5,0.00268505,-0.000361959,-2.71048e-07,4,-237501,234.034,3.22264,0.000972095
29.5004,0.499492,0.5,0.000896083,-0.000358088,-3.13409e-07,4,-236560,80.7881,0.843736,-0.385855
