xc,yc,zc,ux,uy,uz,state,szz,sxy
0.500612,0.498202,0.5,0.000611615,-0.00179815,2.76699e-09,4,-432319,289.023
1.50181,0.498225,0.5,0.00180506,-0.00177491,3.8434e-10,5,-434657,832.041
2.50292,0.498262,0.5,0.0029209,-0.00173828,-2.02614e-09,5,-438732,1091.62
3.50394,0.498296,0.5,0.0039412,-0.0017039,-1.57226e-09,5,-443633,1058.13
4.50488,0.498316,0.5,0.00488112,-0.00168396,1.25953e-10,4,-448144,606.893
5.50578,0.498325,0.5,0.00577813,-0.00167472,2.66766e-10,4,-447277,522.296
6.50665,0.498342,0.5,0.0066479,-0.00165849,-3.85662e-10,4,-446313,761.699
7.50747,0.498376,0.5,0.00746698,-0.00162363,-3.4695e-10,4,-444079,829.704
8.50819,0.498436,0.5,0.00819455,-0.00156424,-2.425e-10,4,-441101,1238.28
9.50878,0.49852,0.5,0.00878088,-0.00147954,-1.50956e-10,4,-437773,1475.13
10.5092,0.498621,0.5,0.0091994,-0.00137934,-4.94193e-11,4,-427203,1469.61
11.5094,0.498726,0.5,0.00944161,-0.00127411,-2.67821e-11,4,-417868,1569.61
12.5095,0.498824,0.5,0.00950685,-0.0011759,-4.76007e-11,4,-408438,1605.49
13.5094,0.498905,0.5,0.00942672,-0.00109455,-5.64769e-11,4,-394907,1534.12
14.5092,0.498974,0.5,0.00923742,-0.00102563,-5.22999e-11,4,-381813,1742.24
15.509,0.499039,0.5,0.00896196,-0.00096081,-1.53874e-11,0,-364890,1871.17
16.5086,0.499102,0.5,0.00861756,-0.000898021,-9.09931e-12,0,-346122,1909.24
17.5082,0.499162,0.5,0.00821089,-0.000837704,-3.69144e-11,0,-328050,1856.76
18.5077,0.499219,0.5,0.00774462,-0.000780803,-4.50441e-11,0,-311011,1719.3
19.5072,0.499272,0.5,0.0072229,-0.000728384,-4.17009e-11,0,-295291,1504.43
20.5067,0.499319,0.5,0.0066514,-0.000681362,-1.21946e-11,0,-281137,1232.58
21.506,0.49936,0.5,0.00603693,-0.000640379,1.58726e-11,0,-268726,932.278
22.5054,0.499394,0.5,0.0053869,-0.000605725,6.06552e-12,0,-258142,634.867
23.5047,0.499423,0.5,0.00470877,-0.000577331,-2.22915e-11,0,-249375,369.13
24.504,0.499445,0.5,0.00400951,-0.000554815,-3.28705e-11,0,-242331,156.544
25.5033,0.499462,0.5,0.00329518,-0.000537573,-1.9031e-11,0,-236856,8.54795
26.5026,0.499475,0.5,0.00257069,-0.000524902,-2.26524e-12,0,-232770,-73.8108
27.5018,0.499484,0.5,0.00183977,-0.000516109,2.63193e-12,0,-229891,-98.0354
28.5011,0.499489,0.5,0.00110512,-0.000510604,1.05437e-12,0,-228067,-77.4965
29.5004,0.499492,0.5,0.000368564,-0.000507962,7.0656e-13,0,-227183,-28.99
0.500599,1.49469,0.5,0.000598851,-0.00531151,1.35786e-09,4,-409141,846.248
1.50177,1.49475,0.5,0.00177344,-0.00524707,-1.71761e-10,5,-410978,2300.99
2.50289,1.49485,0.5,0.00288699,-0.00514575,-1.22377e-09,5,-414359,3059.33
3.50392,1.49495,0.5,0.00392129,-0.00504747,-6.06446e-10,5,-418428,2949.23
4.50488,1.49502,0.5,0.00487765,-0.00498276,3.10398e-10,5,-422441,2070
5.50577,1.49506,0.5,0.00577276,-0.00494469,3.17984e-10,4,-423514,1459.09
6.50662,1.49511,0.5,0.00662016,-0.00488957,-2.08208e-10,4,-422315,2008.65
7.50741,1.49522,0.5,0.00740837,-0.0047821,-2.80328e-10,4,-419873,2609.4
8.5081,1.4954,0.5,0.0081014,-0.00460427,-2.07349e-10,4,-417738,3628.5
9.50866,1.49565,0.5,0.00865996,-0.00435496,-1.30203e-10,4,-413174,4252.21
10.5091,1.49594,0.5,0.00906523,-0.00406131,-5.10744e-11,4,-403220,4381.87
11.5093,1.49624,0.5,0.00931025,-0.00375541,-2.17009e-11,4,-393565,4898.89
12.5094,1.49653,0.5,0.00939634,-0.00346854,-2.59619e-11,4,-383162,5147.79
13.5093,1.49678,0.5,0.00934063,-0.00322286,-2.43635e-11,4,-370754,5086.43
14.5092,1.49699,0.5,0.00916524,-0.00301149,-2.54385e-11,4,-357662,5359.47
15.5089,1.49718,0.5,0.00889674,-0.00281567,-2.24289e-11,0,-340432,5658.46
16.5086,1.49737,0.5,0.00855737,-0.00262674,-3.0537e-11,0,-321578,5749.25
17.5082,1.49755,0.5,0.00815477,-0.00244515,-5.16298e-11,0,-303324,5598.24
18.5077,1.49773,0.5,0.00769185,-0.00227386,-5.74564e-11,0,-286114,5177.14
19.5072,1.49788,0.5,0.00717295,-0.00211614,-4.29872e-11,0,-270255,4518.43
20.5066,1.49803,0.5,0.006604,-0.0019748,-1.04289e-11,0,-256014,3688.13
21.506,1.49815,0.5,0.00599209,-0.0018518,7.80759e-12,0,-243577,2772.99
22.5053,1.49825,0.5,0.00534494,-0.00174801,8.86972e-12,0,-233029,1869.14
23.5047,1.49834,0.5,0.00467026,-0.00166318,3.07399e-12,0,-224350,1065.34
24.504,1.4984,0.5,0.00397519,-0.0015961,-6.54791e-12,0,-217428,427.227
25.5033,1.49846,0.5,0.00326584,-0.00154487,-1.24514e-11,0,-212087,-12.0251
26.5025,1.49849,0.5,0.00254705,-0.00150732,-8.96954e-12,0,-208126,-251.252
27.5018,1.49852,0.5,0.00182245,-0.00148132,7.9419e-13,0,-205352,-314.943
28.5011,1.49853,0.5,0.00109455,-0.00146506,4.2248e-12,0,-203600,-244.543
29.5004,1.49854,0.5,0.000365013,-0.00145727,5.3426e-12,0,-202754,-90.8805
0.500577,2.49135,0.5,0.000576593,-0.00865401,7.11212e-11,4,-386899,1225.36
1.50172,2.49144,0.5,0.00171766,-0.00856304,-2.8366e-10,5,-388065,3285.88
2.50282,2.49158,0.5,0.00282364,-0.00841702,-1.23333e-10,5,-390165,4436.85
3.50387,2.49173,0.5,0.00387497,-0.00826596,5.8746e-12,5,-393005,4430.35
4.50485,2.49185,0.5,0.00485382,-0.00814517,1.07939e-10,5,-396240,3484.95
5.50575,2.49195,0.5,0.00574665,-0.00805199,3.76869e-10,4,-399469,2706.51
